Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.1436,-43.942,0,bottom
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,206.883,-53.213,270,bottom
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.1436,-46.3804,0,bottom
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,213.36,-43.942,0,bottom
R9,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,190.627,-58.801,180,top
RN1,1k,R_Array_Convex_4x0603,243.8,-33.4,270,bottom
RN10,22,R_Array_Convex_4x0603,152.7,-85.19,0,bottom
RN11,1k,R_Array_Convex_4x0603,180.9,-70.1,180,bottom
RN12,1k,R_Array_Convex_4x0603,176.9,-70.1,180,bottom
RN13,1k,R_Array_Convex_4x0603,208.3,-108,90,bottom
RN14,1k,R_Array_Convex_4x0603,208.3,-104,90,bottom
RN15,1k,R_Array_Convex_4x0603,204,-104,270,bottom
RN16,1k,R_Array_Convex_4x0603,204,-108,270,bottom
RN17,1k,R_Array_Convex_4x0603,244.2,-105.2,270,bottom
RN18,1k,R_Array_Convex_4x0603,244.2,-101.2,270,bottom
RN19,1k,R_Array_Convex_4x0603,181.8,-52.7,180,bottom
RN2,1k,R_Array_Convex_4x0603,243.8,-37.4,270,bottom
RN20,1k,R_Array_Convex_4x0603,185.8,-52.7,180,bottom
RN21,1k,R_Array_Convex_4x0603,138.4,-82.7,180,bottom
RN22,1k,R_Array_Convex_4x0603,134.4,-82.7,180,bottom
RN3,22,R_Array_Convex_4x0603,169.1,-95.4,0,bottom
RN4,22,R_Array_Convex_4x0603,165.1,-95.4,0,bottom
RN5,22,R_Array_Convex_4x0603,162.1,-101.2,0,bottom
RN6,22,R_Array_Convex_4x0603,158.1,-101.2,0,bottom
RN7,22,R_Array_Convex_4x0603,156.7,-95.4,0,bottom
RN8,22,R_Array_Convex_4x0603,152.7,-95.4,0,bottom
RN9,22,R_Array_Convex_4x0603,156.7,-85.19,0,bottom
U1,LTC2990,MSOP-10_3x3mm_P0.5mm,222.9964,-52.848,90,bottom
U10,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,237.236,-105.283,0,top
U11,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,237.236,-88.773,0,top
U12,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,196.977,-88.773,0,top
U13,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,196.977,-105.283,0,top
U14,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,217.043,-105.283,0,top
U15,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,103.069,-54.705,0,top
U16,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,111.252,-37.592,180,top
U17,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,122.936,-37.608,180,top
U18,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,134.62,-37.608,180,top
U19,PCF8574TS,TSSOP-20_4.4x6.5mm_P0.65mm,163.975,-34.25,0,top
U1B1,BU4942,TSOP-5_1.65x3.05mm_P0.95mm,166.73,-52.2,90,top
U2,XC95144XL-TQ144,TQFP-144_20x20mm_P0.5mm,126.873,-66.294,90,top
U20,MP2307,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,85.37,-71.8375,180,top
U3,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,110.0008,-85.5792,0,top
U4,MC68060,PGA226,218.465,-55.4609,0,top
U5,7407,SOIC-14_3.9x8.7mm_P1.27mm,173.584,-59.452,0,top
U6,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-73.787,0,top
U7,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-88.773,0,top
U8,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,217.043,-88.773,0,top
U9,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-105.283,0,top
