Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R18,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.826,-93.9292,0.0,top
R19,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.1174,-31.46,0.0,bottom
R20,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.64,-56.6928,0.0,top
R21,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,247.0658,-34.1016,0.0,top
R22,9k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,214.5792,-53.4924,270.0,bottom
R23,1k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,216.5604,-49.6984,270.0,bottom
R24,1k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,214.5792,-49.6824,270.0,bottom
R25,1k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,218.5416,-49.6984,270.0,bottom
R26,9k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,218.5416,-53.5084,270.0,bottom
R27,9k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,216.5604,-53.4924,270.0,bottom
R28,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.9076,-115.1128,0.0,top
R29,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.4184,-113.4872,180.0,bottom
R30,9k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,219.4212,-56.388,180.0,bottom
RN1,1k,R_Array_Convex_4x0603,243.8,-33.4,270.0,bottom
RN2,1k,R_Array_Convex_4x0603,243.8,-37.4,270.0,bottom
RN3,22,R_Array_Convex_4x0603,169.1,-95.4,0.0,bottom
RN4,22,R_Array_Convex_4x0603,165.1,-95.4,0.0,bottom
RN5,22,R_Array_Convex_4x0603,162.1,-101.2,0.0,bottom
RN6,22,R_Array_Convex_4x0603,158.1,-101.2,0.0,bottom
RN7,22,R_Array_Convex_4x0603,156.7,-95.4,0.0,bottom
RN8,22,R_Array_Convex_4x0603,152.7,-95.4,0.0,bottom
RN9,22,R_Array_Convex_4x0603,149.7,-101.2,0.0,bottom
RN10,22,R_Array_Convex_4x0603,145.7,-101.2,0.0,bottom
RN11,1k,R_Array_Convex_4x0603,180.9,-70.1,180.0,bottom
RN12,1k,R_Array_Convex_4x0603,176.9,-70.1,180.0,bottom
RN13,1k,R_Array_Convex_4x0603,208.3,-108.0,90.0,bottom
RN14,1k,R_Array_Convex_4x0603,208.3,-104.0,90.0,bottom
RN15,1k,R_Array_Convex_4x0603,204.0,-104.0,270.0,bottom
RN16,1k,R_Array_Convex_4x0603,204.0,-108.0,270.0,bottom
RN17,1k,R_Array_Convex_4x0603,244.2,-105.2,270.0,bottom
RN18,1k,R_Array_Convex_4x0603,244.2,-101.2,270.0,bottom
RN19,1k,R_Array_Convex_4x0603,181.8,-52.7,180.0,bottom
RN20,1k,R_Array_Convex_4x0603,185.8,-52.7,180.0,bottom
RN21,1k,R_Array_Convex_4x0603,138.4,-82.7,180.0,bottom
RN22,1k,R_Array_Convex_4x0603,134.4,-82.7,180.0,bottom
U1,LTC2990,MSOP-10_3x3mm_P0.5mm,222.9964,-52.848,90.0,bottom
U1B1,BU4942,TSOP-5_1.65x3.05mm_P0.95mm,164.084,-44.5008,90.0,top
U2,XC95144XL-TQ144,TQFP-144_20x20mm_P0.5mm,126.873,-66.294,90.0,top
U3,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,110.0008,-85.5792,0.0,top
U5,7407,SOIC-14_3.9x8.7mm_P1.27mm,174.284,-59.452,0.0,top
U6,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-73.787,0.0,top
U7,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-88.773,0.0,top
U8,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,217.043,-88.773,0.0,top
U9,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,176.784,-105.283,0.0,top
U10,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,237.236,-105.283,0.0,top
U11,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,237.236,-88.773,0.0,top
U12,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,196.977,-88.773,0.0,top
U13,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,196.977,-105.283,0.0,top
U14,74FCT543A,SOIC-24W_7.5x15.4mm_P1.27mm,217.043,-105.283,0.0,top
U15,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,103.069,-54.705,0.0,top
U16,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,106.172,-37.592,180.0,top
U17,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,117.856,-37.608,180.0,top
U18,SN74CB3T3245PW,TSSOP-20_4.4x6.5mm_P0.65mm,129.54,-37.608,180.0,top
